"export-plot data (NetLogo 5.0.5)"
"disaster_resources.nlogo"
"05/14/2014 05:43:36:035 -0400"

"MODEL SETTINGS"
"hide-survivors?","helper-supply-capacity","%-helpers-mobile","helper-tails?","hide-helpers?","mean-damage-value","run-label","total-system-supplies","survivor-carrying-capacity","num-survivors","centers","damage-distribution","num-helpers","sd-if-normal-dist","fwd-movement","survivor-tails?","write-outfile?"
"false","2000","50","true","false","75","""H-H-50-H""","50000","30","4000","15","""normal""","500","75","5","true","true"

"""Avg. system values"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","116","0","110","true","""avg recovery pts""","false","5"

"pen name","pen down?","mode","interval","color","x"
"""100""","true","0","1","9","98"
"""50""","true","0","1","7","98"
"""% agents alive""","true","0","1","55","97"
"""avg survival pts""","true","0","1","95","97"
"""avg recovery pts""","true","0","1","126","97"

"""100""",,,,"""50""",,,,"""% agents alive""",,,,"""avg survival pts""",,,,"""avg recovery pts"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","100","9","true","0","50","7","true","0","100","55","true","0","98.32174997840701","95","true","0","19.0175029715934","126","true"
"1","100","9","true","1","50","7","true","1","100","55","true","1","96.92062213487193","95","true","1","19.844881209782105","126","true"
"2","100","9","true","2","50","7","true","2","100","55","true","2","95.5264232694157","95","true","2","20.868860324772527","126","true"
"3","100","9","true","3","50","7","true","3","100","55","true","3","94.14398370561882","95","true","3","21.70779933396243","126","true"
"4","100","9","true","4","50","7","true","4","100","55","true","4","92.7703937538977","95","true","4","22.18309795476563","126","true"
"5","100","9","true","5","50","7","true","5","100","55","true","5","91.40030744456156","95","true","5","22.585539701747447","126","true"
"6","100","9","true","6","50","7","true","6","100","55","true","6","90.03579166919272","95","true","6","22.995031555012005","126","true"
"7","100","9","true","7","50","7","true","7","100","55","true","7","88.67791432854571","95","true","7","23.302963493685088","126","true"
"8","100","9","true","8","50","7","true","8","100","55","true","8","87.32390266026427","95","true","8","23.445383577537328","126","true"
"9","100","9","true","9","50","7","true","9","100","55","true","9","85.97174969290205","95","true","9","23.571341966926564","126","true"
"10","100","9","true","10","50","7","true","10","100","55","true","10","84.62160902145649","95","true","10","23.73833277945313","126","true"
"11","100","9","true","11","50","7","true","11","100","55","true","11","83.27305932058391","95","true","11","23.871189487351476","126","true"
"12","100","9","true","12","50","7","true","12","100","55","true","12","81.9266222122016","95","true","12","24.01223035152325","126","true"
"13","100","9","true","13","50","7","true","13","99.97500000000001","55","true","13","80.60130864650114","95","true","13","24.09816154161442","126","true"
"14","100","9","true","14","50","7","true","14","99.95","55","true","14","79.27845421136664","95","true","14","24.216997446051618","126","true"
"15","100","9","true","15","50","7","true","15","99.925","55","true","15","77.95675650181076","95","true","15","24.384851064116162","126","true"
"16","100","9","true","16","50","7","true","16","99.875","55","true","16","76.65665038072025","95","true","16","24.57336372650636","126","true"
"17","100","9","true","17","50","7","true","17","99.85000000000001","55","true","17","75.34046997171097","95","true","17","24.713380048329334","126","true"
"18","100","9","true","18","50","7","true","18","99.775","55","true","18","74.06314168471049","95","true","18","24.757198876194494","126","true"
"19","100","9","true","19","50","7","true","19","99.725","55","true","19","72.77207696940785","95","true","19","24.826177667323194","126","true"
"20","100","9","true","20","50","7","true","20","99.675","55","true","20","71.48223597617176","95","true","20","24.90198850744414","126","true"
"21","100","9","true","21","50","7","true","21","99.65","55","true","21","70.17733558741834","95","true","21","24.98557561075046","126","true"
"22","100","9","true","22","50","7","true","22","99.625","55","true","22","68.8739962387403","95","true","22","25.092651532495296","126","true"
"23","100","9","true","23","50","7","true","23","99.52499999999999","55","true","23","67.6222567904412","95","true","23","25.223820457246962","126","true"
"24","100","9","true","24","50","7","true","24","99.4","55","true","24","66.38882587567453","95","true","24","25.345774702702062","126","true"
"25","100","9","true","25","50","7","true","25","99.225","55","true","25","65.18872021412334","95","true","25","25.45746128288666","126","true"
"26","100","9","true","26","50","7","true","26","99.05000000000001","55","true","26","63.990126450199895","95","true","26","25.54313991912829","126","true"
"27","100","9","true","27","50","7","true","27","98.85000000000001","55","true","27","62.809806680529505","95","true","27","25.57718147129757","126","true"
"28","100","9","true","28","50","7","true","28","98.55000000000001","55","true","28","61.69157974628824","95","true","28","25.662195496508232","126","true"
"29","100","9","true","29","50","7","true","29","98.15","55","true","29","60.63491252327184","95","true","29","25.781306942430724","126","true"
"30","100","9","true","30","50","7","true","30","97.975","55","true","30","59.45284602709508","95","true","30","25.83452469599822","126","true"
"31","100","9","true","31","50","7","true","31","97.575","55","true","31","58.3999408606318","95","true","31","25.97255070576325","126","true"
"32","100","9","true","32","50","7","true","32","97.25","55","true","32","57.30894212944522","95","true","32","26.082215139409726","126","true"
"33","100","9","true","33","50","7","true","33","96.95","55","true","33","56.20644631147046","95","true","33","26.23467471199536","126","true"
"34","100","9","true","34","50","7","true","34","96.575","55","true","34","55.14658131294743","95","true","34","26.32504904608293","126","true"
