"export-plot data (NetLogo 5.0.5)"
"disaster_resources.nlogo"
"05/14/2014 03:08:28:403 -0400"

"MODEL SETTINGS"
"hide-survivors?","helper-supply-capacity","%-helpers-mobile","helper-tails?","hide-helpers?","mean-damage-value","run-label","total-system-supplies","survivor-carrying-capacity","num-survivors","centers","damage-distribution","num-helpers","sd-if-normal-dist","fwd-movement","survivor-tails?","write-outfile?"
"true","2000","0","false","true","75","""L-H-N-H""","50000","30","100","15","""normal""","500","75","1","false","true"

"""Avg. system values"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","28.8","0","110","true","""avg recovery pts""","false","5"

"pen name","pen down?","mode","interval","color","x"
"""100""","true","0","1","9","24"
"""50""","true","0","1","7","24"
"""% agents alive""","true","0","1","55","23"
"""avg survival pts""","true","0","1","95","23"
"""avg recovery pts""","true","0","1","126","23"

"""100""",,,,"""50""",,,,"""% agents alive""",,,,"""avg survival pts""",,,,"""avg recovery pts"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","100","9","true","0","50","7","true","0","100","55","true","0","98.30254728027005","95","true","0","33.22724776250786","126","true"
"1","100","9","true","1","50","7","true","1","100","55","true","1","97.04441518617945","95","true","1","36.13098045356569","126","true"
"2","100","9","true","2","50","7","true","2","100","55","true","2","95.83646802018427","95","true","2","41.091325929944645","126","true"
"3","100","9","true","3","50","7","true","3","100","55","true","3","94.7366595328557","95","true","3","43.84517458998949","126","true"
"4","100","9","true","4","50","7","true","4","100","55","true","4","93.68828669272649","95","true","4","46.41726593671276","126","true"
"5","100","9","true","5","50","7","true","5","100","55","true","5","92.67393888119378","95","true","5","53.77730475364216","126","true"
"6","100","9","true","6","50","7","true","6","100","55","true","6","91.74313432946883","95","true","6","58.90397519423258","126","true"
"7","100","9","true","7","50","7","true","7","100","55","true","7","90.92950121013446","95","true","7","66.97707330673346","126","true"
"8","100","9","true","8","50","7","true","8","100","55","true","8","90.26890930903464","95","true","8","73.44369720218727","126","true"
"9","100","9","true","9","50","7","true","9","100","55","true","9","89.7024824728708","95","true","9","76.10283018938011","126","true"
"10","100","9","true","10","50","7","true","10","100","55","true","10","89.17511167426476","95","true","10","80.09631215385984","126","true"
"11","100","9","true","11","50","7","true","11","100","55","true","11","88.7159393461095","95","true","11","80.86167856240678","126","true"
"12","100","9","true","12","50","7","true","12","100","55","true","12","88.27407817907562","95","true","12","83.74637863343091","126","true"
"13","100","9","true","13","50","7","true","13","100","55","true","13","87.88047857036003","95","true","13","86.016284819641","126","true"
"14","100","9","true","14","50","7","true","14","100","55","true","14","87.50021071003962","95","true","14","87.65585653352925","126","true"
"15","100","9","true","15","50","7","true","15","100","55","true","15","87.15858829148976","95","true","15","89.84235215260637","126","true"
"16","100","9","true","16","50","7","true","16","100","55","true","16","86.84807794630284","95","true","16","90.8008097017889","126","true"
"17","100","9","true","17","50","7","true","17","100","55","true","17","86.55353325682314","95","true","17","91.88583124041259","126","true"
"18","100","9","true","18","50","7","true","18","100","55","true","18","86.30033600517625","95","true","18","95.10772271664689","126","true"
"19","100","9","true","19","50","7","true","19","100","55","true","19","86.30033600517623","95","true","19","95.10772271664689","126","true"
"20","100","9","true","20","50","7","true","20","100","55","true","20","86.30033600517623","95","true","20","95.10772271664686","126","true"
"21","100","9","true","21","50","7","true","21","100","55","true","21","86.3003360051763","95","true","21","95.10772271664688","126","true"
"22","100","9","true","22","50","7","true","22","100","55","true","22","86.30033600517629","95","true","22","95.10772271664688","126","true"
"23","100","9","true","23","50","7","true","23","100","55","true","23","86.30033600517625","95","true","23","95.10772271664689","126","true"
"24","100","9","true","24","50","7","true",,,,,,,,,,,,
